#,lsc,ec,st_nr,street_name ,abbr,dir,muncipality,community,list_price,sold_price,type,style,br,addi,wr,fam,kit,garage_type,a/c,heat,contract,sold,list_brokerage,co_op brokerage,mls,,
76,Sld,,57,Clarence,St,,Brampton,Brampton E ,"$799,000","$775,000",Detached,Sidesplit,3,0,2,N,1,Detach,Cen,Gas,19-03-2021,06-04-2021,HOME STANDA,IPRO REALTY L,W5159048,,
77,sld,,41,Prouse,Dr,,Brampton,Brampton N,"$799,000","$895,000",Semi-Detac    ,Bungalow-R,3,1,2,N,1,Built-,Cen,Gas,03-21-2021  ,03-23-2021  ,IPRO REALTY     ,RE/MAX REALE,W5161011,,
78,Sld,,24,Chesterfie,Rd,,Brampton,Brampton E,"$799,000","$885,000",Detached,Bungalow,3,1,2,N,1,Attach,Cen,Gas,04-07-2021,04-12-2021,ROYAL LEPAG   ,RE/MAX ABOUTO ,W5184288,,
79,Sld,,6,Erlesmere,Ave,,Brampton,Brampton E,"$799,000","$799,00",Detached,2-Storey,3,1,2,Y,1,None,Cen,Gas,04-08-2021,04-24-2021,IPRO REALTY  ,RIGHT AT HOME,W5185411,,
80,Sld,"
",13,Golf View,Dr  ,,Brampton,Brampton E,"$799,000","$947,000",Detached,Backsplit,4,0,3,N,1,Attach,Cen,Gas,04-10-2021,05-01-2021,IPRO REALTY  ,HOMELIFE/MIRA,W5189103,,
81,Sld,,15,Ravensclif,Crt,,Brampton,Brampton N,"$799,000","$817,000",Att/Row/Tw,2-Storey,3,2,4,Y,1,Attach,Cen,Gas,04-12-2021 ,04-20-2021 ,HOMELIFE FR ,SAVE MAX REAL,W5190289,,
82,Sld,N,52,Cornwall,Rd,,Brampton,Brampton E,"$799,000","$840,000",Detached,Bungalow,2,2,2,Y,1,Detach,Cen,Gas,04-30-2021 ,05-06-2021 ,SAVE MAX SU  ,ROYAL LEPAGE,W5214845,,
83,Sld,,44,Elderwood     ,Pl,,Brampton,Brampton N,"$799,000","$840,000",Detached,2-Storey,3,1,3,Y,1,Attach,Cen,Gas,05-08-2021,05-11-2021,HOMELIFE/MI,IPRO REALTY L,W5227120,,
84,Sld,N,88,Prouse,Dr,,Brampton,Brampton N  ,"$799,700","$820,000",Semi-Detac    ,Bungalow-R,3,0,2,N,1,Built-,Cen,Gas,05-02-2021,02-12-2021 ,RE/MAX REAL,RE/MAX REALTY,W5106472,,
85,Sld,,36,Ledger Poi,Cres,,Brampton,Brampton N ,"$799,800","$875,000",Att/Row/Tw      ,2-Storey    ,3,0,3,y,1,Detach,Cen,Gas,07-01-2021,01-11-2021,NON-TREB BO,HOMELIFE/MIRA,W5079574,,
86,Sld,N,123,Adventura,Rd,,Brampton,Brampton N ,"$799,900","$795,000",Att/Row/Tw         ,2-Storey ,4,0,3,N,1,Attach,Cen,Gas,11-11-2020,02-12-2021   ,CENTURY 21,RE/MAX REALTY,W4986773,,
