#,LSC,EC,St#,Street Name,Abbr,Dir,Municipality,Community, List Price , Sold Price ,Type,Style,Br,Additional,Wr,Fam,Kit,Garage Type,A/C,Heat,Contract Date,Sold Date,List Brokerage,Co op Brokerage,MLS#
1099,Sld,,171,Cresthaven,Rd,,Brampton,Brampton N," $999,000 "," $1,060,000 ",Detached,2-Storey,3,1,4,Y,1,Attach,Cen,Gas,3-20-21,3-27-21,SAVE MAX SU,RE/MAX REAL E,W5160439
1100,Sld,,40,Ash,Crt,,Brampton,Brampton N," $999,000 "," $1,085,000 ",Detached,2-Storey,4,1,4,Y,1,Built-,Cen,Gas,3-31-21,4-7-21,RE/MAX REAL,HOMELIFE/MIRA,W5173852
1101,Sld,,40,Durham,Cres,,Brampton,Brampton C," $999,400 "," $1,025,000 ",Detached,2-Storey,4,2,4,N,1,Attach,Cen,Gas,3-23-21,4-10-21,RE/MAX WEST,CENTURY 21 IN,W5163519
1102,Sld,,49,Kenpark,Ave,,Brampton,Brampton N," $999,900 "," $1,350,000 ",Detached,2-Storey,4,0,4,Y,1,Attach,Cen,Gas,3-4-21,3-12-21,ROYAL LEPAG,CENTURY 21 HA,W5139540
1103,Sld,,40,Lawlor,Crt,,Brampton,Brampton N," $999,900 "," $1,151,000 ",Detached,2-Storey,3,1,3,Y,1,Built-,Cen,Gas,3-14-21,3-16-21,RE/MAX REAL,CENTURY 21 AT,W5150917
1104,Sld,,64,Dorchester,Dr,,Brampton,Brampton C," $999,900 "," $1,061,000 ",Detached,Bungalow,3,2,3,N,1,Attach,Cen,Gas,3-19-21,3-24-21,CENTURY 21,HOMELIFE MAPL,W5159410
1105,Sld,,14,Dudley,Pl,,Brampton,Brampton C," $999,900 "," $1,005,000 ",Detached,Bungalow,3,1,2,N,1,Attach,Cen,Gas,4-22-21,4-27-21,CENTURY 21,HOMELIFE SILV,W5205897
1106,Sld,,9,Hacienda,Crt,,Brampton,Brampton N," $999,900 "," $1,035,000 ",Detached,2-Storey,3,1,4,Y,1,Attach,Cen,Gas,5-3-21,5-10-21,CENTURY 21,CENTURY 21 PR,W5217697
1107,Sld,N,58,Twin Willo,Cres,,Brampton,Brampton N," $999,900 "," $995,000 ",Detached,2-Storey,3,0,3,Y,1,Built-,Cen,Gas,5-14-21,5-20-21,ROYAL LEPAG,PRESTIGE REAL,W5236034
1108,Sld,,74,Dorchester,Dr,,Brampton,Brampton C," $999,999 "," $1,140,000 ",Detached,2-Storey,4,0,3,Y,1,Built-,Cen,Gas,3-24-21,4-13-21,HOMELIFE/MI,HOMELIFE/MIRA,W5164753
1109,Sld,,38,Robertson,Dr,,Brampton,Brampton N," $1,024,900 "," $1,150,000 ",Detached,2-Storey,3,1,4,N,1,Built-,Cen,Gas,3-12-21,3-15-21,CENTURY 21,RE/MAX REALTY,W5148666
